LFM_PROFILE | model.layers.{}.self_attn.out_proj-5 | MUL_MAT | 2735
LFM_PROFILE | node_170 | ADD | 11
LFM_PROFILE | norm-5 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-5 | MUL | 6
LFM_PROFILE | ffn_gate-5 | MUL_MAT | 10574
LFM_PROFILE | ffn_up-5 | MUL_MAT | 10502
LFM_PROFILE | ffn_swiglu-5 | GLU | 317
LFM_PROFILE | blk.5.ffn_down.weight | MUL_MAT | 10327
LFM_PROFILE | node_206 | ADD | 10
LFM_PROFILE | norm-6 | RMS_NORM | 41
LFM_PROFILE | model.layers.{}.operator_norm-6 | MUL | 25
LFM_PROFILE | model.layers.{}.conv.in_proj-6 | MUL_MAT | 8011
LFM_PROFILE | model.layers.{}.conv.in_proj-6 (view) | MUL | 10
LFM_PROFILE | node_200 (reshaped) | CONCAT | 91
LFM_PROFILE | cache_r_l6 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | cache_r_l7 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l7 (reshaped) | GET_ROWS | 6
LFM_PROFILE | cache_r_l7 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l7 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.conv.conv-6 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-6 (view) | MUL | 7
LFM_PROFILE | model.layers.{}.conv.out_proj-6 | MUL_MAT | 2693
LFM_PROFILE | node_213 | ADD | 28
LFM_PROFILE | norm-6 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.ffn_out-6 | MUL | 6
LFM_PROFILE | ffn_gate-6 | MUL_MAT | 10686
LFM_PROFILE | ffn_up-6 | MUL_MAT | 10982
LFM_PROFILE | ffn_swiglu-6 | GLU | 250
LFM_PROFILE | blk.6.ffn_down.weight | MUL_MAT | 10379
LFM_PROFILE | node_239 | ADD | 45
LFM_PROFILE | norm-7 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.operator_norm-7 | MUL | 8
LFM_PROFILE | model.layers.{}.conv.in_proj-7 | MUL_MAT | 7973
LFM_PROFILE | model.layers.{}.conv.in_proj-7 (view) | MUL | 26
LFM_PROFILE | node_229 (reshaped) | CONCAT | 92
LFM_PROFILE | cache_r_l7 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | model.layers.{}.conv.conv-7 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-7 (view) | MUL | 8
LFM_PROFILE | model.layers.{}.conv.out_proj-7 | MUL_MAT | 2723
LFM_PROFILE | node_246 | ADD | 10
LFM_PROFILE | norm-7 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-7 | MUL | 6
LFM_PROFILE | ffn_gate-7 | MUL_MAT | 10192
LFM_PROFILE | ffn_up-7 | MUL_MAT | 10644
LFM_PROFILE | ffn_swiglu-7 | GLU | 230
LFM_PROFILE | blk.7.ffn_down.weight | MUL_MAT | 16557
LFM_PROFILE | node_264 | ADD | 15
LFM_PROFILE | norm-8 | RMS_NORM | 39
LFM_PROFILE | model.layers.{}.operator_norm-8 | MUL | 5
LFM_PROFILE | model.layers.{}.self_attn.q_proj-8 | MUL_MAT | 2734
LFM_PROFILE | norm-8 | RMS_NORM | 4
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-8 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-8 | ROPE | 6
LFM_PROFILE | model.layers.{}.self_attn.v_proj-8 | MUL_MAT | 1329
LFM_PROFILE | model.layers.{}.self_attn.k_proj-8 | MUL_MAT | 877
LFM_PROFILE | norm-8 | RMS_NORM | 2
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-8 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-8 | ROPE | 4
LFM_PROFILE | cache_k_l8 (view) | SET_ROWS | 12
LFM_PROFILE | cache_v_l8 (view) | SET_ROWS | 30
LFM_PROFILE | __fattn__-8 | FLASH_ATTN_EXT | 304
LFM_PROFILE | cache_r_l9 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l9 (reshaped) | GET_ROWS | 5
LFM_PROFILE | cache_r_l9 (reshaped) | GET_ROWS | 1
LFM_PROFILE | cache_r_l9 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.self_attn.out_proj-8 | MUL_MAT | 2712
LFM_PROFILE | node_271 | ADD | 10
LFM_PROFILE | norm-8 | RMS_NORM | 40
LFM_PROFILE | model.layers.{}.ffn_out-8 | MUL | 5
LFM_PROFILE | ffn_gate-8 | MUL_MAT | 10733
LFM_PROFILE | ffn_up-8 | MUL_MAT | 8623
LFM_PROFILE | ffn_swiglu-8 | GLU | 272
LFM_PROFILE | blk.8.ffn_down.weight | MUL_MAT | 10092
LFM_PROFILE | node_307 | ADD | 12
LFM_PROFILE | norm-9 | RMS_NORM | 38
LFM_PROFILE | model.layers.{}.operator_norm-9 | MUL | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-9 | MUL_MAT | 8026
LFM_PROFILE | model.layers.{}.conv.in_proj-9 (view) | MUL | 10
LFM_PROFILE | node_301 (reshaped) | CONCAT | 91
LFM_PROFILE | cache_r_l9 (view) (copy of  (view)) | CPY | 2
LFM_PROFILE | model.layers.{}.conv.conv-9 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-9 (view) | MUL | 7
LFM_PROFILE | model.layers.{}.conv.out_proj-9 | MUL_MAT | 2763
LFM_PROFILE | node_314 | ADD | 8
LFM_PROFILE | norm-9 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-9 | MUL | 5
LFM_PROFILE | ffn_gate-9 | MUL_MAT | 10814
LFM_PROFILE | ffn_up-9 | MUL_MAT | 11225
LFM_PROFILE | ffn_swiglu-9 | GLU | 253
LFM_PROFILE | blk.9.ffn_down.weight | MUL_MAT | 8443
LFM_PROFILE | node_332 | ADD | 11
LFM_PROFILE | norm-10 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.operator_norm-10 | MUL | 6
LFM_PROFILE | model.layers.{}.self_attn.q_proj-10 | MUL_MAT | 1802
LFM_PROFILE | norm-10 | RMS_NORM | 6
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-10 | MUL | 4
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-10 | ROPE | 10
LFM_PROFILE | model.layers.{}.self_attn.v_proj-10 | MUL_MAT | 270
LFM_PROFILE | model.layers.{}.self_attn.k_proj-10 | MUL_MAT | 271
LFM_PROFILE | norm-10 | RMS_NORM | 6
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-10 | MUL | 4
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-10 | ROPE | 10
LFM_PROFILE | cache_k_l10 (view) | SET_ROWS | 12
LFM_PROFILE | cache_v_l10 (view) | SET_ROWS | 13
LFM_PROFILE | __fattn__-10 | FLASH_ATTN_EXT | 268
